FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support Investments in Food Policy Initiatives,Subventions pour favoriser les investissements dans les initiatives de la politique alimentaire,Brunswick House First Nation,Brunswick House First Nation,Chapleau,Chapleau,Ontario,Ontario,,,0,120000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for First Nations and Inuit Primary Health Care,Contributions aux soins de santé primaires des Premières Nations et des Inuits,National Indian Brotherhood,National Indian Brotherhood,Cornwall Island,Cornwall Island,Ontario,Ontario,,,0,2055134
2023/2024,11,Health,Santé,061,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,Vanier Canada Graduate Scholarships,Bourses d'études supérieures du Canada Vanier,Western University,Western University,London,London,Ontario,Ontario,,,0,200000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support First Nations Elementary and Secondary Educational Advancement,Contributions pour favoriser l'essor du régime d'éducation primaire et secondaire des Premières Nations,Athabasca Dene Education Corp.,Athabasca Dene Education Corp.,Prince Albert,Prince Albert,Saskatchewan,Saskatchewan,,,0,31832353
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",033,Department of Industry,Ministère de l'Industrie,Contributions under the Strategic Innovation Fund,Contributions provenant du Fonds stratégique pour l'innovation,Algoma Steel Inc,Algoma Steel Inc,Sault Ste Marie,Sault Ste Marie,Ontario,Ontario,,,0,73995784
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions to the Canada Arts Presentation Fund,Contributions pour le Fonds du Canada pour la présentation des arts,Carrefour International de théâtre de Québec inc,Carrefour International de théâtre de Québec inc,Québec,Québec,Quebec,Québec,,,0,159500
2023/2024,22,Transport,Transports,034,Department of Transport,Ministère des Transports,National Trade Corridors Fund,Fonds national des corridors commerciaux,Nanaimo Port Authority,Administration portuaire de Nanaimo,Nanaimo,Nanaimo,British Columbia,Colombie-Britannique,,,0,2363056
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,Next Hydrogen Corp,Next Hydrogen Corp,Mississauga,Mississauga,Ontario,Ontario,,,0,750000
2023/2024,21,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales",053,Correctional Service of Canada,Service correctionnel du Canada,Correctional Service of Canada's National Infrastructure Contribution Program,Programme national de contributions pour les infrastructures du Service correctionnel du Canada,St. Leonard's Community Services,St. Leonard's Community Services,London,London,Ontario,Ontario,,,0,231289
2023/2024,26,Economic development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,012,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Contributions under the Community Futures Program,Contributions en vertu du Programme de développement des collectivités,Fonds de développement économique Laprade-Drummond Inc,Fonds de développement économique Laprade-Drummond Inc,Drummondville,Drummondville,Quebec,Québec,,,0,375774
