FSCL_YR,MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,AGRG_PYMT_AMT
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Agro Enviro Consulting Services Calgary Alta",105577
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Atlantic Turfgrass Research Truro NS",118692
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","B Paquette Inc Ange-Gardien Que",142251
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Big Sky Farms Inc Humboldt Sask",500000
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","BMO Bank of Montreal Hamilton Ont",1029164
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Bow River Irrigation District Vauxhall Alta",1949117
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Deerwood Soil and Water Management Association Miami Man",124847
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","East Peace Water Co-op Ltd Peace River Alta",141266
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Hytek Ltd La Broquerie Man",500000
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Jean Marc Henri Inc St-Roch-de-L'Achigan Que",109339
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Keystone Vegetable Producers Portage la Prairie Man",587033
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Melfort Rural Pipeline Association Melfort Sask",513189
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Milk River Watershed Council Canada Milk River Alta",116513
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","North Saskatchewan River Water Resource North Battleford Sask",213908
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Okanagan Basin Water Board Vernon BC",195637
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","PEI Soil and Crop Improvement Association Charlottetown PEI",149689
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","RM of Kindersley 290 Kindersley Sask",1000000
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Sunterra Farms Ltd Acme Alta",100675
2007/2008,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Watrous South Rural Water Utility Watrous Sask",157146
