FSCL_YR,MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,AGRG_PYMT_AMT
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","101031585 Saskatchewan Ltd Melville Sask",212920
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","3422861 Manitoba Ltd Eden Man",152650
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Artel Ltd Niverville Man",107719
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Beaver Creek Farms Ltd Macgregor Man",147633
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Belle Plaine Hutterian Brethren Church Saskatoon Sask",149678
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Boerchers Farm Ltd Laurier Man",120578
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Borek Holdings 1975 Ltd Dawson Creek BC",104518
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Carmichael Hutterian Brethren Swift Current Sask",114759
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Chute Farms Ltd Moose Jaw Sask",124271
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Delage Farms Ltd Emerald Park Sask",105122
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Fortin Farms Ltd Souris Man",100720
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Froese Enterprises Inc Winkler Man",101677
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Gogel Farms Inc Regina Sask",128581
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","H & M Farms Ltd Altona Man",181892
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Hanmer Holdings Ltd Govan Sask",116455
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Hargreaves Farms Ltd Brandon Man",106584
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Hudye Farms Inc Norquay Sask",187996
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","JVM Van Staveren Farms Inc Griffin Sask",103437
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Lajord Hutterian Brethren Church White City Sask",156428
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Norenda Farms Inc Gerald Sask",103772
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Pallister Farm Ltd Portage La Prairie Man",253336
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Sky Farms Inc Canora Sask",103397
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Smith Potato Farms Ltd Carman Man",103990
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","W J Siemens Farming Co Ltd Winkler Man",112557
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants in support of the Grain and Oilseed Payment Program","Woycheshyn G Vegreville Alta",250838
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Canadian Cattlemen's Association Legacy Fund","Canadian Cattlemen's Association Calgary Alta",131600
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural research in universities and other scientific organizations in Canada","Natural Sciences & Engineering Research Council of Canada Ottawa Ont",793278
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector - Approach Adoption Bio-Security Protocol - Avian and Pandemic Influenza Preparedness","Agricultural Adaptation Council Guelph Ont",800000
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector - Approach Adoption Bio-Security Protocol - Avian and Pandemic Influenza Preparedness","Conseil pour le développement de l'agriculture du Québec Longueuil Que",600000
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector - Approach Adoption Bio-Security Protocol - Avian and Pandemic Influenza Preparedness","Investment Agriculture Foundation of British Columbia Victoria BC",1500000
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agri-Adapt Council Ltd Mount Pearl NL",543552
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agricultural Adaptation Council Guelph Ont",7706278
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agriculture & Food Council Nisku Alta",5320458
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agri-Futures Nova Scotia Truro NS",1162470
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Canadian Agri-Food Policy Institute Ottawa Ont",400000
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Conseil pour le développement de l'agriculture du Québec Longueuil Que",3437588
2005/2006,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Fonds québécois d'adaptation des entreprises agroalimentaires Inc Montreal Que",1534167
