FSCL_YR,MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,AGRG_PYMT_AMT
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Canadian Cattlemen's Association Legacy Fund","Canadian Cattlemen's Association Calgary Alta",4877317
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","3L Cattle Company Ltd Port Mcneil BC",130126
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Alkali Lake Ranch Ltd Alkali Lake BC",118904
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Belle Plaine Hutterian Brethren Church Belle Plaine Sask",136830
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Bench Hutterian Brethren Corp Shaunovan Sask",145318
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Broken Stirrup Ranches Lundar Man",101588
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Carmichael Hutterian Brethren Gull Lake Sask",135119
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Donfield Farms Ltd Brandon Man",116742
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Heenan Agri Ltd Regina Sask",122329
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Image Creek Farms Ltd Macgregor Man",173188
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Jvm Van Staveren Farms Inc Creelman Sask",162522
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Keywest Farms Ltd Ogema Sask",131521
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Knudsen & Sons Muddy View Ranch Ltd Coronach Sask",101944
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Mccabe Apiaries Ltd Porcupine Plain Sask",136015
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Meadow Stock Farm Ltd Spy Hill Sask",127069
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Missouri Coteau Cattle Co Ltd Crane Valley Sask",147521
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Morden Farms Ltd Souris Man",140416
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Pound Maker Agventures Ltd Saskatoon Sask",500000
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Rogers Farms Ltd Milestone Sask",159404
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Rose Valley Hutterian Brethren Assiniboia Sask",117249
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Royston Farms Ltd Russell Man",123115
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Ruco Enterprises Ltd Outlook Sask",234863
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Slimmon Bros Ltd Heward Sask",109069
2006/2007,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant Payments for the Canadian Agricultural Income Stabilization Inventory Transition Initiative","Stewart Ranches Carnduff Sask",106128
