FSCL_YR,MINC,MINE,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Ontario Ministry of Agriculture Food and Rural Affairs Guelph Ont",0,38639235
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Nova Scotia Departement of Agriculture Truro NS",0,3053556
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Nova Scotia Crop and Livestock Insurance Commision Truro NS",0,1017800
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Newfoundland Exchequer Account St John's NL",0,5691960
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Minister of Finance of New Brunswick Fredericton NB",0,7156340
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Minister of Finance of Manitoba Winnipeg Man",0,141962
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Minister of Finance of British Columbia Victoria BC",0,11260786
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Government of Yukon Whitehorse Yk",0,471059
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to provinces and territories","Government of Prince Edward Island Charlottetown PEI",0,4110452
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Agriculture Adaptation Council Guelph Ont",0,6650576
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Agri-Tracabilité Québec Longueuil Que",0,395623
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Agri-Futures Nova Scotia Truro NS",0,843309
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Agri-Adapt Council Ltd Mount Pearl NL",0,658793
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions",,78035948,0
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","University of Saskatchewan Saskatoon Sask",0,1038903
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","University of Manitoba Winnipeg Man",0,532961
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","University of Guelph Guelph Ont",0,1154425
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","University of Alberta Edmonton Alta",0,752501
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","Université Laval Québec Que",0,372147
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","U.M.C.E. Eastern Canada Soil and Water Conservation Centre Saint-Andre NB",0,111368
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","Transfer payments under $100,000 (9 recipients)",0,551306
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","Nova Scotia Community College Halifax NS",0,100000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","Nova Scotia Agricultural College Truro NS",0,431051
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities","McGill University Montréal Que",0,541012
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to universities",,5585674,0
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Wild Blueberry Association of North America Upper Kingsclear NB",0,613825
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Transfer payments under $100,000 (19 recipients)",0,828606
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Royal Agricultural Winter Fair Toronto Ont",0,150000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Pet Industry Joint Advisory Council Ottawa Ont",0,187802
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","North American Fur Association Toronto Ont",0,1080000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Malting Industry Association of Canada Ottawa Ont",0,121034
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","International Grains Council London United Kingdom",0,257029
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Groupe Export agroalimentaire St-Bruno Que",0,2114260
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Fur Farmers of Canada Thornhill Ont",0,720000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Food Beverage Canada Edmonton Alta",0,903783
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Flowers Canada Growers Inc Guelph Ont",0,131008
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Fédération des producteurs acéricoles du Québec Longueuil Que",0,906480
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","ExpoCité Québec Que",0,150000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Equine Canada Ottawa Ont",0,125236
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Dairy Farmers of Canada Ottawa Ont",0,133537
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Canola Council of Canada Winnipeg Man",0,1161768
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Canadian Western Agribition Regina Sask",0,150000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Canadian Vintners Association Ottawa Ont",0,194885
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Canadian Swine Exporters Association Woodstock Ont",0,1282155
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Other transfer payments to or behalf of international organizations and foreign countries","Canadian Special Crops Association Winnipeg Man",0,175114
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Conseil québécois de l'horticulture Longueuil Que",0,196136
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Conseil pour le développement de l'agriculture du Québec Longueuil Que",0,1004878
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Conseil canadien de la coopération et de la mutualité Ottawa Ont",0,4015279
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Composites Innovation Centre Manitoba Inc Winnipeg Man",0,284000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Chapleau Cree First Nation Chapleau Ont",0,100000
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Centre de recherche Les Buissons Pointe-aux-Outardes Que",0,559129
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canola Council of Canada Winnipeg Man",0,5418165
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Young Farmer'S Forum Sherwood Park Alta",0,269500
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Swine Research And Development Cluster Inc Québec Que",0,2893766
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Swine Health Board Ottawa Ont",0,9227858
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Simmental Association Calgary Alta",0,517447
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Sheep Federation Guelph Ont",0,462401
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Poultry Research Council Guelph Ont",0,257500
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Pork Council Ottawa Ont",0,1928517
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Nursery Landscape Association Milton Ont",0,117505
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Horticultural Council Ottawa Ont",0,1196983
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Hemp Trade Alliance Steinbach Man",0,121103
2011/2012,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Transfer payments to other non-profit institutions","Canadian Field Crop Research Alliance Guelph Ont",0,821872
