FSCL_YR,MINC,MINE,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Minister of Finance of Quebec Québec Que",0,74008679
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Mifarm Ag Management Inc Calgary Alta",0,242296
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Mazza Innovation Ltd Penticton BC",0,167978
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Martin's Family Fruit Farm Ltd Waterloo Ont",0,1500000
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","British Columbia Ministry of Agriculture and Lands Kelowna BC",0,20696011
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Morris Piglets Ltd Winkler Man",0,456364
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Natural Pastures Cheese Company Courtenay BC",0,124275
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Nearco Transportation Consulting Ltd Dugald Man",0,190871
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","NeoVentures Biotechnology Inc London Ont",0,106222
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Transfer payments under $100,000 (105,676 recipients)",0,258009098
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Palma Pasta Corporation Mississauga Ont",0,105000
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Picard Foods Partnership La Salette Ont",0,150000
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Pogo Palace Ltd La Broquerie Man",0,162631
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Prairie Pulp and Paper Inc Winnipeg Man",0,385900
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Prairie Tide Chemicals Inc Saskatoon Sask",0,201225
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Richardson International Ltd Winnipeg Man",0,2060378
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","SB Vegetable Growers Ltd Portage La Prairie Man",0,118949
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Sanimax Aci Inc Montréal Que",0,1580861
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Saskatchewan Crop Insurance Melville Sask",0,236010897
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Semiosbio Technologies Inc Vancouver BC",0,488216
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Sevita International Corporation Inkerman Ont",0,1300068
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Tasty Chip Inc Toronto Ont",0,918500
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Topeaka Farms Ltd Grunthal Man",0,815584
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","W-M Ventures Inc Winkler Man",0,251062
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies",,672605783,0
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","2310439 Ontario Inc Leamington Ont",0,360000
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","3529941 Manitoba Ltd Steinbach Man",0,198377
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","4603398 Manitoba Ltd Steinbach Man",0,238576
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Agri-B Farms Ltd Killarney Man",0,259903
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Agricorp Toronto Ont",0,24109886
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Agriculture Financial Services Corporation Lacombe Alta",0,24246552
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Alverick Farm Inc La Broquerie Man",0,111387
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Amaizeingly Green Products LP Collingwood Ont",0,114302
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Ambercreek Fur Farm Ltd Clementsvale NS",0,107867
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Armstrong Milling Company Ltd Hagersville Ont",0,798361
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Atwood Pet Foods Supplies Ltd Atwood Ont",0,2287873
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Bar 77 Farms Ltd Carberry Man",0,131101
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Berry Lane Farms Ltd Deloraine Man",0,111558
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Blight and Blight Ltd Oakville Man",0,150929
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Canadian Prairie Garden Puree Products Inc Portage La Prairie Man",0,989955
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Cardinal Meat Specialists Ltd Brampton Ont",0,600000
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Cargill Ltd High River Alta",0,940272
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Compagnie de recherches phytodata Inc Sherrington Que",0,179457
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Dr Oetker Canada Ltd Mississauga Ont",0,1000000
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Everspring Farms Ltd Ilderton Ont",0,157140
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Ferme Prejet Ltée Notre-Dame-de-Lourdes Man",0,110343
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","GE Lighting Solutions Canada Company Lachine Que",0,225044
2012/2013,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Great Lakes Specialty Meats of Canada Inc Toronto Ont",0,187500
